Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61pSxwiXMtL._AC_UL1000.jpg?v=1575460563,5,,,,,,,,,,,,,,,,,,,,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-4,1.6×2.4ich Personalized Custom Keychain Print Logo Photo Picture Key Chains Holder 4×6cm,"<!-- show up to 2 reviews by default --> 
<p>1.6×2.4ich Personalized Custom Keychain Print Logo Photo Picture Key Chains Holder 4×6cm can Print Picture Photo Logo Color printing </p>",customadd,"","",true,Title,Default Title,,,,,"",0,shopify,0,continue,manual,4.99,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61QdKFfkYSL._AC_UL1000_807304e4-9db7-4de9-a6f2-2a5ef544c243.jpg?v=1575463522,1,,false,,,,,,,,,,,,,,,,,kg,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/51vQa-xqtOL._AC_UL1000_e824efb1-3011-431c-a01b-9d78f165a5d8.jpg?v=1575463524,2,,,,,,,,,,,,,,,,,,,,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61P4Bx-BefL._AC_UL1000_eaf4f2b7-0803-4d67-92e0-5e107097ef07.jpg?v=1575463527,3,,,,,,,,,,,,,,,,,,,,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61m6Ast1PKL._AC_UL1000_5a4df4cc-fd5d-4817-b3a8-0172b2451514.jpg?v=1575463529,4,,,,,,,,,,,,,,,,,,,,,
1-6-2-4ich-personalized-custom-keychain-print-logo-photo-picture-key-chains-holder-4-6cm-4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/61pSxwiXMtL._AC_UL1000_a6b1a873-3314-47f4-89bd-5b7ca0c9adda.jpg?v=1575463532,5,,,,,,,,,,,,,,,,,,,,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,2 PLY 100% Cashmere Scarf Elegant Collection Made in Scotland Wool Solid Plaid,"<!-- show up to 2 reviews by default --> 
<p>Cashmere Made In Scotland is your guarantee of longevity and durability. Around the Globe, whether creating new trends, our scarves make a great statement to your outfit, as well as your taste and style. Cashmere Made In Scotland for its unsurpassed quality, exquisite drape, sumptuous touch and rich color. </p>",customadd,"","",true,color,Black and White Small Check,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/91aRj6OA92L._AC_UL1500.jpg?v=1575513704,1,,false,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Zs32 - Navy Blue Grey Teal Pink,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,https://cdn.shopify.com/s/files/1/0257/1724/3958/products/91rDxYWuU2L._AC_UL1500.jpg?v=1575513705,2,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Blue White Brown 434,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,White Black Houndstooth,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Solid Red,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Hot Pink Green Blue Tartan Plaid,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Brown Black Houndstooth Plaid 50,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Pink Blue Green Jsf,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Solid Charcoal,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Pink Cream Black 1612,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Camel Red Jsf,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,White Red Blue Green 1606,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Black Camel 313,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Sz11 - Pink Off White Brown,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Black White Fade,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Cream Grey Gold Zs58,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Zs01 - Olive Grey Navy Blue Brown,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Grey Red Black Jsf,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Black White Grey 451,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Black Red Green Plaid Dy Mix,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Zs55 - Navy Blue Fade,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Black White 319,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Red Navy 1605,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Grey Black White Zs64,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Solid Black,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Cream Red Camel Jsf,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Green Blue Black 317,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
2-ply-100-cashmere-scarf-elegant-collection-made-in-scotland-wool-solid-plaid,,,,,,,,Zs18 - Grey Brown Black,,,,,"",0,shopify,0,continue,manual,21.99,0.00,true,false,,,,,,,,,,,,,,,,,,,,,,kg,,
